"Subject" "Activity" "signal" "average"
1 "LAYING" "fBodyAcc" -0.896277044593333
1 "LAYING" "fBodyAccJerk" -0.942532465933333
1 "LAYING" "fBodyAccMag" -0.8617676481
1 "LAYING" "fBodyBodyAccJerkMag" -0.9333003608
1 "LAYING" "fBodyBodyGyroJerkMag" -0.9423669466
1 "LAYING" "fBodyBodyGyroMag" -0.8621901854
1 "LAYING" "fBodyGyro" -0.903914463462
1 "LAYING" "tBodyAcc" 0.0226269123102
1 "LAYING" "tBodyAccJerk" 0.0319196581899333
1 "LAYING" "tBodyAccJerkMag" -0.9543962646
1 "LAYING" "tBodyAccMag" -0.8419291525
1 "LAYING" "tBodyGyro" 0.0225500727313333
1 "LAYING" "tBodyGyroJerk" -0.074279452394
1 "LAYING" "tBodyGyroJerkMag" -0.96346103
1 "LAYING" "tBodyGyroMag" -0.874759548
1 "LAYING" "tGravityAcc" 0.300828564993333
1 "LAYING" "tGravityAccMag" -0.8419291525
1 "SITTING" "fBodyAcc" -0.960970226099291
1 "SITTING" "fBodyAccJerk" -0.984743193971631
1 "SITTING" "fBodyAccMag" -0.947782922553192
1 "SITTING" "fBodyBodyAccJerkMag" -0.985262126808511
1 "SITTING" "fBodyBodyGyroJerkMag" -0.989797547234043
1 "SITTING" "fBodyBodyGyroMag" -0.958435589361702
1 "SITTING" "fBodyGyro" -0.967771864609929
1 "SITTING" "tBodyAcc" 0.0517950318395035
1 "SITTING" "tBodyAccJerk" 0.0244985416073759
1 "SITTING" "tBodyAccJerkMag" -0.987364195531915
1 "SITTING" "tBodyAccMag" -0.948536786170213
1 "SITTING" "tBodyGyro" -0.0247809434191489
1 "SITTING" "tBodyGyroJerk" -0.0601979400496454
1 "SITTING" "tBodyGyroJerkMag" -0.991976341276596
1 "SITTING" "tBodyGyroMag" -0.93089249
1 "SITTING" "tGravityAcc" 0.455988409617021
1 "SITTING" "tGravityAccMag" -0.948536786170213
1 "STANDING" "fBodyAcc" -0.985872626352201
1 "STANDING" "fBodyAccJerk" -0.990267222641509
1 "STANDING" "fBodyAccMag" -0.985356361132075
1 "STANDING" "fBodyBodyAccJerkMag" -0.99254247754717
1 "STANDING" "fBodyBodyGyroJerkMag" -0.994815376981132
